id,parent_id,WILAYAH,length,,,
3215142002,321514,JATISARI,10,,,
3215142003,321514,BARUGBUG,10,,,
3215142004,321514,CIKALONGSARI,10,,,
3215142005,321514,CIREJAG,10,,,
3215142006,321514,JATIBARU,10,,,
3215142007,321514,JATIRAGAS,10,,,
3215142008,321514,JATIWANGI,10,,,
3215142009,321514,KALIJATI,10,,,
3215142010,321514,BALONGGANDU,10,,,
3215142011,321514,PACING,10,,,
3215142012,321514,SITUDAM,10,,,
3215142013,321514,SUKAMEKAR,10,,,
3215142014,321514,TELARSARI,10,,,
321515,3215,CILAMAYA WETAN,6,,,
3215152001,321515,MEKARMAYA,10,,,
3215152002,321515,CILAMAYA,10,,,
3215152003,321515,MUARA,10,,,
3215152004,321515,MUARABARU,10,,,
3215152005,321515,SUKATANI,10,,,
3215152006,321515,TEGALWARU,10,,,
3215152007,321515,TEGALSARI,10,,,
3215152008,321515,CIKALONG,10,,,
3215152009,321515,CIKARANG,10,,,
3215152010,321515,RAWAGEMPOL WETAN,10,,,
3215152011,321515,RAWAGEMPOL KULON,10,,,
3215152012,321515,SUKAKERTA,10,,,
321516,3215,TIRTAMULYA,6,,,
3215162001,321516,CITARIK,10,,,
3215162002,321516,KARANGSINOM,10,,,
3215162003,321516,KARANGJAYA,10,,,
3215162004,321516,PARAKAN,10,,,
3215162005,321516,PARAKANMULYA,10,,,
3215162006,321516,KAMURANG,10,,,
3215162007,321516,CIPONDOH,10,,,
3215162008,321516,KERTAWALUYA,10,,,
3215162009,321516,BOJONGSARI,10,,,
3215162010,321516,TIRTASARI,10,,,
321517,3215,TELAGASARI,6,,,
3215172001,321517,TELAGAMULYA,10,,,
3215172002,321517,TELAGASARI,10,,,
3215172003,321517,PASIRTALAGA,10,,,
3215172004,321517,CARIUMULYA,10,,,
3215172005,321517,PASIRMUKTI,10,,,
3215172006,321517,KALIBUAYA,10,,,
3215172007,321517,PASIRKAMUNING,10,,,
3215172008,321517,KALIJAYA,10,,,
3215172009,321517,KALISARI,10,,,
3215172010,321517,CADAS KERTAJAYA,10,,,
3215172011,321517,CILEWO,10,,,
3215172012,321517,CIWULAN,10,,,
3215172013,321517,LINGGARSARI,10,,,
3215172014,321517,PULOSARI,10,,,
321518,3215,RAWAMERTA,6,,,
3215182001,321518,SUKAMERTA,10,,,
3215182002,321518,KUTAWARGI,10,,,
3215182003,321518,PANYINGKIRAN,10,,,
3215182004,321518,PASIRKALIKI,10,,,
3215182005,321518,PASIRAWI,10,,,
3215182006,321518,BALONGSARI,10,,,
3215182007,321518,MEKARJAYA,10,,,
3215182008,321518,SEKARWANGI,10,,,
3215182009,321518,PURWAMEKAR,10,,,
3215182010,321518,SUKAPURA,10,,,
3215182011,321518,CIBADAK,10,,,
3215182012,321518,SUKARAJA,10,,,
3215182014,321518,GOMBONGSARI,10,,,
321519,3215,LEMAHABANG,6,,,
3215192001,321519,KARYAMUKTI,10,,,
3215192002,321519,CIWARINGIN,10,,,
3215192003,321519,WARINGINKARYA,10,,,
3215192004,321519,KEDAWUNG,10,,,
3215192005,321519,KARANGTANJUNG,10,,,
3215192006,321519,PASIRTANJUNG,10,,,
3215192007,321519,LEMAHABANG,10,,,
3215192008,321519,LEMAHMUKTI,10,,,
3215192009,321519,PULOJAYA,10,,,
3215192010,321519,PULOKALAPA,10,,,
3215192011,321519,PULOMULYA,10,,,
321520,3215,TEMPURAN,6,,,
3215202001,321520,PANCAKARYA,10,,,
3215202002,321520,DAYEUHLUHUR,10,,,
3215202003,321520,LEMAHDUHUR,10,,,
3215202004,321520,LEMAHKARYA,10,,,
3215202005,321520,LEMAHSUBUR,10,,,
3215202006,321520,LEMAHMAKMUR,10,,,
3215202008,321520,PURWAJAYA,10,,,
3215202010,321520,TANJUNGJAYA,10,,,
3215202011,321520,SUMBERJAYA,10,,,
3215202012,321520,PAGADUNGAN,10,,,
3215202013,321520,TEMPURAN,10,,,
3215202014,321520,CIKUNTUL,10,,,
3215202016,321520,JAYANEGARA,10,,,
3215202017,321520,CIPARAGEJAYA,10,,,
321521,3215,MAJALAYA,6,,,
3215212001,321521,MAJALAYA,10,,,
3215212002,321521,CIRANGGON,10,,,
3215212003,321521,PASIRJENGKOL,10,,,
3215212005,321521,SARIJAYA,10,,,
3215212006,321521,PASIRMULYA,10,,,
3215212007,321521,LEMAHMULYA,10,,,
3215212008,321521,BENGLE,10,,,
321522,3215,JAYAKERTA,6,,,
3215222001,321522,JAYAMAKMUR,10,,,
3215222002,321522,KEMIRI,10,,,
3215222003,321522,MAKMURJAYA,10,,,
3215222004,321522,KERTAJAYA,10,,,
3215222005,321522,JAYAKERTA,10,,,
3215222006,321522,MEDANGASEM,10,,,
3215222007,321522,CIPTAMARGA,10,,,
3215222008,321522,KAMPUNGSAWAH,10,,,
321523,3215,CILAMAYA KULON,6,,,
3215232001,321523,SUKAMULYA,10,,,
3215232002,321523,TEGALURUNG,10,,,
3215232003,321523,LANGENSARI,10,,,
3215232004,321523,BAYUR LOR,10,,,
3215232005,321523,BAYUR KIDUL,10,,,
3215232006,321523,KIARA,10,,,
3215232007,321523,MANGGUNGJAYA,10,,,
3215232008,321523,SUMURGEDE,10,,,
3215232009,321523,MUKTIJAYA,10,,,
3215232010,321523,PASIRUKEM,10,,,
3215232011,321523,PASIRJAYA,10,,,
3215232012,321523,SUKAJAYA,10,,,
321524,3215,BANYUSARI,6,,,
3215242001,321524,GEMBONGAN,10,,,
3215242002,321524,GEMPOL,10,,,
3215242003,321524,GEMPOL KOLOT,10,,,
3215242004,321524,BANYUASIH,10,,,
3215242005,321524,KERTARAHARJA,10,,,
3215242006,321524,TANJUNG,10,,,
3215242007,321524,JAYAMUKTI,10,,,
3215242008,321524,CICINDE UTARA,10,,,
3215242009,321524,CICINDE SELATAN,10,,,
3215242010,321524,MEKARASIH,10,,,
3215242011,321524,TALUNJAYA,10,,,
3215242012,321524,PAMEKARAN,10,,,
321525,3215,KOTA BARU,6,,,
3215252001,321525,WANCIMEKAR,10,,,
3215252002,321525,PANGULAH SELATAN,10,,,
3215252003,321525,PANGULAH UTARA,10,,,
3215252004,321525,PANGULAH BARU,10,,,
3215252005,321525,PUCUNG,10,,,
3215252006,321525,JOMIN TIMUR,10,,,
3215252007,321525,JOMIN BARAT,10,,,
3215252008,321525,SARIMULYA,10,,,
3215252009,321525,CIKAMPEK UTARA,10,,,
321526,3215,KARAWANG TIMUR,6,,,
3215261001,321526,KARAWANG WETAN,10,,,
3215261002,321526,ADIARSA TIMUR,10,,,
3215261003,321526,PALUMBONSARI,10,,,
3215261004,321526,PLAWAD,10,,,
3215262005,321526,MARGASARI,10,,,
3215262006,321526,WARUNGBAMBU,10,,,
3215262007,321526,KONDANGJAYA,10,,,
3215262008,321526,TEGAL SAWAH,10,,,
321527,3215,TELUKJAMBE BARAT,6,,,
3215272001,321527,MARGAKAYA,10,,,
3215272002,321527,MARGAMULYA,10,,,
3215272003,321527,KARANGLIGAR,10,,,
3215272004,321527,MEKARMULYA,10,,,
3215272005,321527,PARUNGSARI,10,,,
3215272006,321527,KARANGMULYA,10,,,
3215272007,321527,WANASARI,10,,,
3215272008,321527,WANAKERTA,10,,,
3215272009,321527,WANAJAYA,10,,,
3215272010,321527,MULYAJAYA,10,,,
321528,3215,TEGALWARU,6,,,
3215282001,321528,CIGUNUNGSARI,10,,,
3215282002,321528,WARGASETRA,10,,,
3215282003,321528,MEKARBUANA,10,,,
3215282004,321528,CINTALAKSANA,10,,,
3215282005,321528,CINTAWARGI,10,,,
3215282006,321528,CINTALANGGENG,10,,,
3215282007,321528,KUTALANGGENG,10,,,
3215282008,321528,KUTAMANEUH,10,,,
3215282009,321528,CIPURWASARI,10,,,
321529,3215,PURWASARI,6,,,
3215292001,321529,DARAWOLONG,10,,,
3215292002,321529,TEGALSARI,10,,,
3215292003,321529,PURWASARI,10,,,
3215292004,321529,MEKARJAYA,10,,,
3215292005,321529,TAMELANG,10,,,
